2010/12/24 16:14:30 -0800 743 | 1293236070 | 45342 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.balilearning.com.45342 for resource cacheResource: fileConnector
2010/12/24 16:14:30 -0800 832 | 1293236070 | 45342 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.balilearning.com.45342 for resource cacheResource: fileConnector
2010/12/24 16:14:30 -0800 841 | 1293236070 | 45342 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.balilearning.com.45342
2010/12/25 12:19:21 -0800 822 | 1293308361 | 92081 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/fc1d5e53c7be80310e9be30dd1020b1e.www.balilearning.com.92081 for resource cacheResource: fileConnector
2010/12/25 12:19:21 -0800 831 | 1293308361 | 92081 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/fc1d5e53c7be80310e9be30dd1020b1e.www.balilearning.com.92081 for resource cacheResource: fileConnector
2010/12/25 12:19:21 -0800 839 | 1293308361 | 92081 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/fc1d5e53c7be80310e9be30dd1020b1e.www.balilearning.com.92081
2010/12/25 13:42:20 -0800 247 | 1293313340 | 40641 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/45e2b2befc7a4b4bbffbc00fc37a7a79.balilearning.com.40641 for resource cacheResource: fileConnector
2010/12/25 13:42:20 -0800 266 | 1293313340 | 40641 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/45e2b2befc7a4b4bbffbc00fc37a7a79.balilearning.com.40641 for resource cacheResource: fileConnector
2010/12/25 13:42:20 -0800 275 | 1293313340 | 40641 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/45e2b2befc7a4b4bbffbc00fc37a7a79.balilearning.com.40641
2010/12/25 15:13:56 -0800 237 | 1293318836 | 48863 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/a2fe8a87540f4a3034e7c8b734d03c15.www.balilearning.com.48863 for resource cacheResource: fileConnector
2010/12/25 15:13:56 -0800 248 | 1293318836 | 48863 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/a2fe8a87540f4a3034e7c8b734d03c15.www.balilearning.com.48863 for resource cacheResource: fileConnector
2010/12/25 15:13:56 -0800 258 | 1293318836 | 48863 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/a2fe8a87540f4a3034e7c8b734d03c15.www.balilearning.com.48863
2010/12/25 15:13:56 -0800 483 | 1293318836 | 48863 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/f77b1b826edc2792383d10090e2197cf.www.balilearning.com.48863 for resource cacheResource: fileConnector
2010/12/25 15:13:56 -0800 490 | 1293318836 | 48863 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/f77b1b826edc2792383d10090e2197cf.www.balilearning.com.48863 for resource cacheResource: fileConnector
2010/12/25 15:13:56 -0800 498 | 1293318836 | 48863 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/f77b1b826edc2792383d10090e2197cf.www.balilearning.com.48863
2010/12/25 20:24:48 -0800 160 | 1293337488 | 49501 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.www.balilearning.com.49501 for resource cacheResource: fileConnector
2010/12/25 20:24:48 -0800 176 | 1293337488 | 49501 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.www.balilearning.com.49501 for resource cacheResource: fileConnector
2010/12/25 20:24:48 -0800 187 | 1293337488 | 49501 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/668f17591789b2a10990ff00eb3e0c55.www.balilearning.com.49501
2010/12/26 13:14:12 -0800 875 | 1293398052 | 95804 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/bali_udaydeep/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.balilearning.com.95804 for resource cacheResource: fileConnector
